,fold_0,fold_1,fold_2,fold_3,fold_4,mean,std,cv
organic_rank,0.5426575410315096,0.5611550766669786,0.5751660279407962,0.5702070740923313,0.5055956032460913,0.5509562645955415,0.028227559609516114,0.051
word_count,0.2949396711834156,0.33779104041526964,0.3595703663769313,0.3718580072556015,0.3208721045758703,0.33700623796141765,0.030636203785591315,0.091
readability_score,0.309742716907832,0.28734881909842674,0.2716283792053479,0.28275479985638763,0.3522748829533539,0.30074991960426967,0.03196548997036407,0.106
query_url_similarity,0.25224109700958075,0.2761910417222442,0.23328440801226868,0.3240788059379099,0.2529241423020663,0.26774389899681394,0.034972827084561536,0.131
passage_match_score,0.2717399763857638,0.2446658994102241,0.2596846080470765,0.27341134228283015,0.267234635560525,0.26334729233728393,0.01171797104967696,0.044
num_lists_tables,0.2199994694815279,0.19541998477922146,0.2217591685575446,0.23280018411919298,0.17682946910447148,0.20936165520839167,0.02274279761985282,0.109
content_freshness_days,0.19755279462330336,0.16937338416600742,0.177035617719968,0.17987247611021726,0.14336287524795208,0.17343942957348962,0.01972880429921484,0.114
structure_score,0.06351000250054434,0.07917228157613247,0.08190535414504499,0.13897353192403655,0.14572651855952545,0.10185753774105677,0.03770055847988761,0.37
num_entities_matched,0.07918681229696393,0.08188095113746516,0.0778658010688016,0.07501796714070591,0.07227340599315052,0.07724498752741742,0.003719021855178103,0.048
content_type,0.033671799353898725,0.08230198115788194,0.07057053415132448,0.05128149316938178,0.048413720117819276,0.057247905590061245,0.019200734554502646,0.335
rank_reciprocal,0.05194677188853763,0.04367249471898186,0.048366626920681215,0.056593584246577705,0.05180065151221654,0.050476025857398986,0.004797912240864752,0.095
is_video,0.02394501526290813,0.04256673552772136,0.036937616416680995,0.03206073584821192,0.023484677771673314,0.031798956165439145,0.008264850922495327,0.26
has_schema,0.028430140685267103,0.03334238854168749,0.017186962692524076,0.023135667672818893,0.04180549789145247,0.028780131496750006,0.009445347894749467,0.328
has_faq,0.037077537817612416,0.026349497238023132,0.02568289641486114,0.0258346490186589,0.023361020593450695,0.027661120216521257,0.005388169876921816,0.195
is_https,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
is_forum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
