,fold_0,fold_1,fold_2,fold_3,fold_4,mean,std,cv
word_count,0.45000908722212046,0.5087241500985186,0.47715512465324006,0.40818585163931265,0.44791377978227587,0.4583975986790936,0.037370120692723205,0.082
query_url_similarity,0.3883096781812798,0.4084270371754192,0.38599104604228224,0.39494554279677285,0.407229039231566,0.39698046868546405,0.010442079172799561,0.026
readability_score,0.3844235288349567,0.3904484496755925,0.3783056820702847,0.3858101229980092,0.3715353326771957,0.3821046232512078,0.007329211216327481,0.019
passage_match_score,0.23191302674917405,0.2055439175902744,0.2085080314461903,0.19708654302114098,0.2041209565347098,0.2094344950682979,0.013247499065772354,0.063
content_freshness_days,0.20029845766912888,0.2014461573678631,0.19064668239902563,0.17066285364526956,0.20555408933841965,0.19372164808394138,0.014000826305670478,0.072
num_lists_tables,0.16610901006190792,0.15164106930325894,0.16344543256346672,0.18139883807200982,0.17818539727487118,0.1681559494551029,0.011990455779335815,0.071
num_entities_matched,0.0934860697178706,0.0766927990439717,0.0784659671282436,0.08772779363204398,0.12630772072760144,0.09253607004994627,0.020084343674673807,0.217
is_video,0.031073108102318395,0.04789083311614685,0.06779990983179074,0.06784861227078466,0.04518990643134118,0.05196047395047636,0.015827233503126224,0.305
structure_score,0.042350393178726305,0.034176457737460676,0.039884747804172206,0.04193247237471482,0.03803863769928416,0.03927654175887163,0.0033322555449443857,0.085
content_type,0.039158178034522914,0.03190544502732949,0.037673957058960136,0.033357979801951744,0.025219453493177175,0.03346300268318829,0.005489997220908267,0.164
has_faq,0.02685544904083649,0.026602395130583302,0.015893584777430064,0.025243021283551374,0.0287058655048357,0.024660063147447387,0.005053510479584584,0.205
has_schema,0.022910841587742835,0.0353565160026825,0.021643326867451636,0.026830528934761236,0.014482585674957969,0.024244759813519236,0.007648597300703501,0.315
is_https,0.012045724720815894,0.009116019311307162,0.010147811993600694,0.0,0.013164949550834486,0.008894901115311648,0.005217732932304545,0.587
is_forum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
