query_id,query,video_id,url,is_short,t,title
q0004,haus schätzen lassen,4T2VvGrxics,https://www.youtube.com/watch?v=4T2VvGrxics&t=93,False,93.0,Immobilienbewertung: In 4 Schritten einfach erklärt
q0004,haus schätzen lassen,9580eaI-AkE,https://www.youtube.com/watch?v=9580eaI-AkE&t=118,False,118.0,Haus bewerten: Brauchen Sie einen teuren Gutachter?
q0005,haus bewerten,4T2VvGrxics,https://www.youtube.com/watch?v=4T2VvGrxics&t=64,False,64.0,Immobilienbewertung: In 4 Schritten einfach erklärt
q0005,haus bewerten,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0006,immobilienwert berechnen,3mI_scFJPPI,https://www.youtube.com/watch?v=3mI_scFJPPI,False,,Immobilienwert berechnen
q0006,immobilienwert berechnen,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0006,immobilienwert berechnen,Rptf4MMbBlM,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,False,155.0,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0007,hausbewertung,4T2VvGrxics,https://www.youtube.com/watch?v=4T2VvGrxics&t=64,False,64.0,Immobilienbewertung: In 4 Schritten einfach erklärt
q0009,immobilie bewerten lassen,Rptf4MMbBlM,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,False,155.0,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0009,immobilie bewerten lassen,4T2VvGrxics,https://www.youtube.com/watch?v=4T2VvGrxics&t=64,False,64.0,Immobilienbewertung: In 4 Schritten einfach erklärt
q0009,immobilie bewerten lassen,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0009,immobilie bewerten lassen,XVJbxVWXt8k,https://www.youtube.com/watch?v=XVJbxVWXt8k&t=76,False,76.0,Kostenfreier Immobilienwert-Rechner OHNE Angabe ...
q0010,wohnung schätzen lassen,4T2VvGrxics,https://www.youtube.com/watch?v=4T2VvGrxics&t=93,False,93.0,Immobilienbewertung: In 4 Schritten einfach erklärt
q0010,wohnung schätzen lassen,Rptf4MMbBlM,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,False,155.0,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0010,wohnung schätzen lassen,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0010,wohnung schätzen lassen,XVJbxVWXt8k,https://www.youtube.com/watch?v=XVJbxVWXt8k&t=76,False,76.0,Kostenfreier Immobilienwert-Rechner OHNE Angabe ...
q0014,wert einer immobilie ermitteln,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten ...
q0014,wert einer immobilie ermitteln,NlYb0GbVA9Y,https://www.youtube.com/shorts/NlYb0GbVA9Y,True,,Wie wird der Verkehrswert einer Immobilie ermittelt? ...
q0014,wert einer immobilie ermitteln,BCoAKw1truA,https://www.youtube.com/shorts/BCoAKw1truA,True,,"Sie möchten wissen, was Ihre Immobilie wert ist?"
q0016,immobilienwert schätzen,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten Fehler erklärt
q0017,marktwert immobilie berechnen,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten Fehler erklärt
q0017,marktwert immobilie berechnen,Rptf4MMbBlM,https://www.youtube.com/watch?v=Rptf4MMbBlM&t=155,False,155.0,So bestimmst du den Wert deiner Immobilie | Baufi Basics
q0020,verkehrswert haus berechnen,IYFKgHc1nwI,https://www.youtube.com/watch?v=IYFKgHc1nwI,False,,Ganz einfach Immobilienwert berechnen ...
q0020,verkehrswert haus berechnen,gU7GFsBMVcE,https://www.youtube.com/watch?v=gU7GFsBMVcE,False,,3 Methoden: Immobilienwert ermitteln | Baufinanzierung leicht gemacht
q0020,verkehrswert haus berechnen,f-xvoOYB5zI,https://www.youtube.com/watch?v=f-xvoOYB5zI,False,,How to determine the value of a property
q0020,verkehrswert haus berechnen,NlYb0GbVA9Y,https://www.youtube.com/shorts/NlYb0GbVA9Y,True,,Wie wird der Verkehrswert einer Immobilie ermittelt? ...
q0023,schätzung immobilienwert,LrbE5Wf92TI,https://www.youtube.com/watch?v=LrbE5Wf92TI&t=2,False,2.0,Immobilienwert ermitteln: Die 3 Verfahren & häufigsten Fehler erklärt
q0026,eigentumswohnung bewerten,BCoAKw1truA,https://www.youtube.com/shorts/BCoAKw1truA,True,,"Sie möchten wissen, was Ihre Immobilie wert ist?"
q0028,kurzgutachten haus,R8YSODNK9lY,https://www.youtube.com/watch?v=R8YSODNK9lY&t=120,False,120.0,📈🏡📉Hauswert bestimmen: Gutachter oder Makler?📈🏡📉
q0028,kurzgutachten haus,zQgPnnVetjs,https://www.youtube.com/watch?v=zQgPnnVetjs&t=242,False,242.0,Verkehrswertgutachten für Immobilien - Das sollte man wissen!
q0028,kurzgutachten haus,JD_4Gt9nTGw,https://www.youtube.com/watch?v=JD_4Gt9nTGw,False,,So ermittelt ein Gutachter Immobilienwerte
